Name,Club,Nationality,Position,Age,Matches,Starts,Mins,Goals,Assists,Goals_per_Match,Goals_per_90,Assists_per_Match,Assists_per_90,Goal_Contribution_per_90
Eberechi Eze,Crystal Palace,ENG,MF,22,34,29,2559,4,6,0.11764705882352941,0.1406799531066823,0.17647058823529413,0.21101992966002342,0.3516998827667057
Luka Milivojeviƒá,Crystal Palace,SRB,MF,29,31,27,2359,1,1,0.03225806451612903,0.03815175922000848,0.03225806451612903,0.03815175922000848,0.07630351844001695
Andros Townsend,Crystal Palace,ENG,"MF,FW",29,34,25,2258,1,5,0.029411764705882353,0.03985828166519043,0.14705882352941177,0.19929140832595219,0.23914968999114258
Joel Ward,Crystal Palace,ENG,DF,30,26,25,2256,0,1,0.0,0.0,0.038461538461538464,0.0398936170212766,0.0398936170212766
Jordan Ayew,Crystal Palace,GHA,"FW,MF",28,33,23,2096,1,3,0.030303030303030304,0.04293893129770992,0.09090909090909091,0.12881679389312978,0.17175572519083968
Christian Benteke,Crystal Palace,BEL,FW,29,30,21,1816,10,1,0.3333333333333333,0.4955947136563877,0.03333333333333333,0.04955947136563877,0.5451541850220265
Gary Cahill,Crystal Palace,ENG,DF,34,20,20,1800,1,1,0.05,0.05,0.05,0.05,0.1
Patrick van Aanholt,Crystal Palace,NED,DF,29,22,20,1777,0,1,0.0,0.0,0.045454545454545456,0.050647158131682614,0.050647158131682614
jairo riedewald,Crystal Palace,NED,MF,23,33,19,1820,2,0,0.06060606060606061,0.0989010989010989,0.0,0.0,0.0989010989010989
Tyrick Mitchell,Crystal Palace,ENG,DF,20,19,19,1710,1,1,0.05263157894736842,0.052631578947368425,0.05263157894736842,0.052631578947368425,0.10526315789473685
James McArthur,Crystal Palace,SCO,MF,32,18,17,1466,0,2,0.0,0.0,0.1111111111111111,0.12278308321964529,0.12278308321964529
Jeffrey Schlupp,Crystal Palace,GHA,MF,27,27,15,1428,2,3,0.07407407407407407,0.12605042016806722,0.1111111111111111,0.18907563025210083,0.31512605042016806
Scott Dann,Crystal Palace,ENG,DF,33,15,15,1350,1,0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.06666666666666667
Nathaniel Clyne,Crystal Palace,ENG,DF,29,13,13,1145,0,1,0.0,0.0,0.07692307692307693,0.07860262008733625,0.07860262008733625
James McCarthy,Crystal Palace,IRL,MF,29,16,10,821,0,0,0.0,0.0,0.0,0.0,0.0
Michy Batshuayi,Crystal Palace,BEL,FW,26,18,7,728,2,1,0.1111111111111111,0.24725274725274726,0.05555555555555555,0.12362637362637363,0.3708791208791209
James Tomkins,Crystal Palace,ENG,DF,31,8,6,553,0,0,0.0,0.0,0.0,0.0,0.0
Mamadou Sakho,Crystal Palace,FRA,DF,30,4,3,276,0,0,0.0,0.0,0.0,0.0,0.0
Jean-Philippe Mateta,Crystal Palace,FRA,FW,23,7,2,221,1,0,0.14285714285714285,0.40723981900452494,0.0,0.0,0.40723981900452494
Jack Butland,Crystal Palace,ENG,GK,27,1,1,90,0,0,0.0,0.0,0.0,0.0,0.0
Martin Kelly,Crystal Palace,ENG,DF,30,1,0,2,0,0,0.0,0.0,0.0,0.0,0.0
James Ward-Prowse,Southampton,ENG,MF,25,38,38,3420,8,7,0.21052631578947367,0.2105263157894737,0.18421052631578946,0.1842105263157895,0.39473684210526316
Jan Bednarek,Southampton,POL,DF,24,36,36,3100,1,1,0.027777777777777776,0.02903225806451613,0.027777777777777776,0.02903225806451613,0.05806451612903226
Stuart Armstrong,Southampton,SCO,MF,28,33,32,2764,4,5,0.12121212121212122,0.13024602026049203,0.15151515151515152,0.16280752532561504,0.2930535455861071
Alex McCarthy,Southampton,ENG,GK,30,30,30,2700,0,0,0.0,0.0,0.0,0.0,0.0
Che Adams,Southampton,SCO,FW,24,36,30,2667,9,5,0.25,0.30371203599550056,0.1388888888888889,0.1687289088863892,0.47244094488188976
Kyle Walker-Peters,Southampton,ENG,DF,23,30,30,2645,0,2,0.0,0.0,0.06666666666666667,0.06805293005671077,0.06805293005671077
Ryan Bertrand,Southampton,ENG,DF,30,29,29,2598,0,1,0.0,0.0,0.034482758620689655,0.03464203233256351,0.03464203233256351
Jannik Vestergaard,Southampton,DEN,DF,27,30,29,2574,3,0,0.1,0.1048951048951049,0.0,0.0,0.1048951048951049
Danny Ings,Southampton,ENG,FW,28,29,26,2173,12,4,0.41379310344827586,0.4970087436723424,0.13793103448275862,0.16566958122411413,0.6626783248964565
Oriol Romeu,Southampton,ESP,MF,28,21,20,1763,1,1,0.047619047619047616,0.05104934770277936,0.047619047619047616,0.05104934770277936,0.10209869540555871
Theo Walcott,Southampton,ENG,"MF,FW",31,21,20,1618,3,3,0.14285714285714285,0.16687268232385663,0.14285714285714285,0.16687268232385663,0.33374536464771326
Nathan Redmond,Southampton,ENG,"MF,FW",26,29,17,1738,2,3,0.06896551724137931,0.10356731875719218,0.10344827586206896,0.15535097813578824,0.25891829689298046
Jack Stephens,Southampton,ENG,DF,26,18,17,1537,0,0,0.0,0.0,0.0,0.0,0.0
Moussa Djenepo,Southampton,MLI,MF,22,27,15,1240,1,0,0.037037037037037035,0.07258064516129033,0.0,0.0,0.07258064516129033
Ibrahima Diallo,Southampton,FRA,MF,21,22,10,1020,0,0,0.0,0.0,0.0,0.0,0.0
Takumi Minamino,Southampton,JPN,"MF,FW",25,10,9,711,2,0,0.2,0.25316455696202533,0.0,0.0,0.25316455696202533
Mohammed Salisu,Southampton,GHA,DF,21,12,8,844,0,0,0.0,0.0,0.0,0.0,0.0
Fraser Forster,Southampton,ENG,GK,32,8,8,720,0,0,0.0,0.0,0.0,0.0,0.0
Nathan Tella,Southampton,ENG,"FW,MF",21,18,7,745,1,1,0.05555555555555555,0.12080536912751677,0.05555555555555555,0.12080536912751677,0.24161073825503354
William Smallbone,Southampton,IRL,MF,20,3,2,172,0,0,0.0,0.0,0.0,0.0,0.0
Shane Long,Southampton,IRL,"FW,MF",33,11,1,210,0,0,0.0,0.0,0.0,0.0,0.0
Yan Valery,Southampton,FRA,"DF,MF",21,3,1,103,0,0,0.0,0.0,0.0,0.0,0.0
Kayne Ramsey,Southampton,ENG,DF,19,1,1,90,0,0,0.0,0.0,0.0,0.0,0.0
Jake Vokins,Southampton,ENG,DF,20,1,1,66,0,0,0.0,0.0,0.0,0.0,0.0
Alexandre Jankewitz,Southampton,SUI,MF,18,2,1,3,0,0,0.0,0.0,0.0,0.0,0.0
Dan Nlundulu,Southampton,ENG,FW,21,13,0,111,0,0,0.0,0.0,0.0,0.0,0.0
Michael Obafemi,Southampton,IRL,FW,20,4,0,61,0,0,0.0,0.0,0.0,0.0,0.0
Caleb Watts,Southampton,AUS,"MF,FW",18,3,0,39,0,0,0.0,0.0,0.0,0.0,0.0
Allan Tchaptchet,Southampton,FRA,DF,18,1,0,13,0,0,0.0,0.0,0.0,0.0,0.0
Ben White,Brighton,ENG,"DF,MF",22,36,36,3191,0,0,0.0,0.0,0.0,0.0,0.0
Yves Bissouma,Brighton,MLI,MF,23,36,35,3111,1,0,0.027777777777777776,0.028929604628736737,0.0,0.0,0.028929604628736737
Lewis Dunk,Brighton,ENG,DF,28,33,33,2931,5,0,0.15151515151515152,0.1535312180143296,0.0,0.0,0.1535312180143296
Leandro Trossard,Brighton,BEL,"FW,MF",25,35,30,2607,5,5,0.14285714285714285,0.17261219792865362,0.14285714285714285,0.17261219792865362,0.34522439585730724
Adam Webster,Brighton,ENG,DF,25,29,29,2594,1,0,0.034482758620689655,0.03469545104086353,0.0,0.0,0.03469545104086353
Neal Maupay,Brighton,FRA,"FW,MF",23,33,29,2512,8,2,0.24242424242424243,0.28662420382165604,0.06060606060606061,0.07165605095541401,0.35828025477707004
Pascal Groü,Brighton,GER,"MF,DF",29,34,27,2484,3,8,0.08823529411764706,0.10869565217391304,0.23529411764705882,0.2898550724637681,0.39855072463768115
Robert Sanchez,Brighton,ESP,GK,22,27,27,2430,0,0,0.0,0.0,0.0,0.0,0.0
Joel Veltman,Brighton,NED,DF,28,28,25,2281,1,1,0.03571428571428571,0.0394563787812363,0.03571428571428571,0.0394563787812363,0.0789127575624726
Dan Burn,Brighton,ENG,DF,28,27,23,2061,1,0,0.037037037037037035,0.043668122270742356,0.0,0.0,0.043668122270742356
Solly March,Brighton,ENG,DF,26,21,19,1672,2,1,0.09523809523809523,0.10765550239234449,0.047619047619047616,0.053827751196172245,0.16148325358851676
Danny Welbeck,Brighton,ENG,FW,29,24,17,1545,6,1,0.25,0.34951456310679613,0.041666666666666664,0.05825242718446602,0.4077669902912621
Adam Lallana,Brighton,ENG,"MF,FW",32,30,16,1596,1,1,0.03333333333333333,0.05639097744360902,0.03333333333333333,0.05639097744360902,0.11278195488721804
Alexis Mac Allister,Brighton,ARG,"MF,FW",21,21,13,1115,1,1,0.047619047619047616,0.08071748878923767,0.047619047619047616,0.08071748878923767,0.16143497757847533
Mathew Ryan,Brighton,AUS,GK,28,11,11,990,0,0,0.0,0.0,0.0,0.0,0.0
Tariq Lamptey,Brighton,ENG,DF,19,11,11,886,1,1,0.09090909090909091,0.10158013544018057,0.09090909090909091,0.10158013544018057,0.20316027088036115
Steven Alzate,Brighton,COL,"MF,DF",21,15,10,896,1,0,0.06666666666666667,0.10044642857142856,0.0,0.0,0.10044642857142856
Aaron Connolly,Brighton,IRL,FW,20,17,9,791,2,1,0.11764705882352941,0.22756005056890014,0.058823529411764705,0.11378002528445007,0.3413400758533502
Jakub Moder,Brighton,POL,"DF,MF",21,12,7,647,0,0,0.0,0.0,0.0,0.0,0.0
Alireza Jahanbakhsh,Brighton,IRN,"FW,MF",26,21,6,528,0,1,0.0,0.0,0.047619047619047616,0.17045454545454547,0.17045454545454547
Davy Propper,Brighton,NED,MF,28,7,2,213,0,0,0.0,0.0,0.0,0.0,0.0
Bernardo,Brighton,BRA,"DF,MF",25,3,2,206,0,0,0.0,0.0,0.0,0.0,0.0
Percy Tau,Brighton,RSA,"FW,MF",26,3,1,103,0,1,0.0,0.0,0.3333333333333333,0.8737864077669902,0.8737864077669902
Andi Zeqiri,Brighton,SUI,"FW,DF",21,9,0,171,0,0,0.0,0.0,0.0,0.0,0.0
Jose Izquierdo,Brighton,COL,"DF,MF",28,1,0,9,0,0,0.0,0.0,0.0,0.0,0.0
Reda Khadra,Brighton,GER,FW,19,1,0,5,0,0,0.0,0.0,0.0,0.0,0.0
Jayson Molumby,Brighton,IRL,MF,20,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0
Ashley Westwood,Burnley,ENG,MF,30,38,38,3410,3,3,0.07894736842105263,0.07917888563049853,0.07894736842105263,0.07917888563049853,0.15835777126099707
James Tarkowski,Burnley,ENG,DF,27,36,36,3240,1,0,0.027777777777777776,0.027777777777777776,0.0,0.0,0.027777777777777776
Dwight McNeil,Burnley,ENG,MF,20,36,34,3069,2,5,0.05555555555555555,0.05865102639296188,0.1388888888888889,0.1466275659824047,0.20527859237536658
Matthew Lowton,Burnley,ENG,DF,31,34,34,3060,1,1,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.058823529411764705
Nick Pope,Burnley,ENG,GK,28,32,32,2880,0,0,0.0,0.0,0.0,0.0,0.0
Josh Brownhill,Burnley,ENG,MF,24,33,32,2813,0,1,0.0,0.0,0.030303030303030304,0.03199431212228937,0.03199431212228937
Chris Wood,Burnley,NZL,FW,28,33,32,2741,12,3,0.36363636363636365,0.3940167821962787,0.09090909090909091,0.09850419554906968,0.49252097774534837
Ben Mee,Burnley,ENG,DF,30,30,30,2693,2,0,0.06666666666666667,0.0668399554400297,0.0,0.0,0.0668399554400297
Charlie Taylor,Burnley,ENG,DF,26,29,28,2426,0,1,0.0,0.0,0.034482758620689655,0.03709810387469085,0.03709810387469085
jóhann berg guðmundsson,Burnley,ISL,MF,29,22,16,1363,2,0,0.09090909090909091,0.13206162876008803,0.0,0.0,0.13206162876008803
Matƒõj Vydra,Burnley,CZE,FW,28,28,15,1371,3,2,0.10714285714285714,0.19693654266958424,0.07142857142857142,0.13129102844638948,0.3282275711159738
Jack Cork,Burnley,ENG,MF,31,16,15,1350,0,0,0.0,0.0,0.0,0.0,0.0
Ashley Barnes,Burnley,ENG,FW,30,22,15,1331,3,0,0.13636363636363635,0.20285499624342598,0.0,0.0,0.20285499624342598
Erik Pieters,Burnley,NED,"DF,MF",31,20,13,1266,0,1,0.0,0.0,0.05,0.07109004739336493,0.07109004739336493
Jay Rodriguez,Burnley,ENG,"FW,MF",31,31,12,1265,1,2,0.03225806451612903,0.07114624505928854,0.06451612903225806,0.1422924901185771,0.21343873517786563
Robbie Brady,Burnley,IRL,MF,28,19,12,1052,1,1,0.05263157894736842,0.08555133079847908,0.05263157894736842,0.08555133079847908,0.17110266159695817
Kevin Long,Burnley,IRL,DF,29,8,7,637,0,0,0.0,0.0,0.0,0.0,0.0
Bailey Peacock-Farrell,Burnley,NIR,GK,23,4,4,360,0,0,0.0,0.0,0.0,0.0,0.0
Phil Bardsley,Burnley,SCO,DF,35,4,3,274,0,0,0.0,0.0,0.0,0.0,0.0
Jimmy Dunne,Burnley,IRL,DF,22,3,3,270,1,0,0.3333333333333333,0.33333333333333337,0.0,0.0,0.33333333333333337
Dale Stephens,Burnley,ENG,MF,31,7,3,261,0,0,0.0,0.0,0.0,0.0,0.0
Josh Benson,Burnley,ENG,MF,20,6,2,264,0,0,0.0,0.0,0.0,0.0,0.0
Will Norris,Burnley,ENG,GK,26,2,2,180,0,0,0.0,0.0,0.0,0.0,0.0
Joel Mumbongo,Burnley,SWE,FW,21,4,0,40,0,0,0.0,0.0,0.0,0.0,0.0
Lewis Richardson,Burnley,ENG,"FW,MF",17,2,0,4,0,0,0.0,0.0,0.0,0.0,0.0
Alphonse Areola,Fulham,FRA,GK,27,36,36,3240,0,0,0.0,0.0,0.0,0.0,0.0
Tosin Adarabioyo,Fulham,ENG,DF,22,33,33,2953,0,0,0.0,0.0,0.0,0.0,0.0
Ademola Lookman,Fulham,ENG,"FW,MF",22,34,31,2747,4,4,0.11764705882352941,0.1310520567892246,0.11764705882352941,0.1310520567892246,0.2621041135784492
Ola Aina,Fulham,NGA,DF,23,31,31,2664,2,1,0.06451612903225806,0.06756756756756757,0.03225806451612903,0.033783783783783786,0.10135135135135136
Joachim Andersen,Fulham,DEN,DF,24,31,30,2730,1,1,0.03225806451612903,0.03296703296703297,0.03225806451612903,0.03296703296703297,0.06593406593406594
Andre-Frank Zambo Anguissa,Fulham,CMR,MF,24,36,29,2587,0,3,0.0,0.0,0.08333333333333333,0.10436799381523,0.10436799381523
Bobby Reid,Fulham,JAM,"MF,DF",27,33,28,2372,5,2,0.15151515151515152,0.1897133220910624,0.06060606060606061,0.07588532883642496,0.26559865092748736
Ivan Cavaleiro,Fulham,POR,"FW,MF",26,36,27,2472,3,0,0.08333333333333333,0.10922330097087378,0.0,0.0,0.10922330097087378
Harrison Reed,Fulham,ENG,MF,25,31,26,2247,0,2,0.0,0.0,0.06451612903225806,0.0801068090787717,0.0801068090787717
Antonee Robinson,Fulham,USA,DF,22,28,24,2162,0,0,0.0,0.0,0.0,0.0,0.0
Ruben Loftus-Cheek,Fulham,ENG,"MF,FW",24,30,21,1909,1,0,0.03333333333333333,0.04714510214772132,0.0,0.0,0.04714510214772132
Mario Lemina,Fulham,GAB,MF,26,28,19,1703,1,0,0.03571428571428571,0.05284791544333529,0.0,0.0,0.05284791544333529
Kenny Tete,Fulham,NED,DF,24,22,18,1481,0,1,0.0,0.0,0.045454545454545456,0.06076975016880486,0.06076975016880486
Aleksandar Mitroviƒá,Fulham,SRB,FW,25,27,13,1402,3,3,0.1111111111111111,0.19258202567760344,0.1111111111111111,0.19258202567760344,0.38516405135520687
Josh Maja,Fulham,NGA,"FW,MF",21,15,9,810,3,0,0.2,0.33333333333333337,0.0,0.0,0.33333333333333337
Tom Cairney,Fulham,SCO,MF,29,10,9,759,1,1,0.1,0.11857707509881424,0.1,0.11857707509881424,0.23715415019762848
Joe Bryan,Fulham,ENG,"DF,FW",26,16,7,669,1,0,0.0625,0.13452914798206278,0.0,0.0,0.13452914798206278
Tim Ream,Fulham,USA,DF,32,7,7,630,0,0,0.0,0.0,0.0,0.0,0.0
Josh Onomah,Fulham,ENG,MF,23,11,4,374,0,0,0.0,0.0,0.0,0.0,0.0
Denis Odoi,Fulham,BEL,DF,32,3,3,270,0,0,0.0,0.0,0.0,0.0,0.0
Michael Hector,Fulham,JAM,DF,28,4,3,263,0,0,0.0,0.0,0.0,0.0,0.0
Fabio Carvalho,Fulham,ENG,"MF,FW",17,4,3,255,1,0,0.25,0.3529411764705882,0.0,0.0,0.3529411764705882
Aboubakar Kamara,Fulham,MTN,"FW,DF",25,11,2,315,0,0,0.0,0.0,0.0,0.0,0.0
Marek Rodak,Fulham,SVK,GK,23,2,2,180,0,0,0.0,0.0,0.0,0.0,0.0
Maxime Le Marchand,Fulham,FRA,DF,30,2,1,123,0,0,0.0,0.0,0.0,0.0,0.0
Neeskens Kebano,Fulham,COD,"FW,MF",28,5,1,119,0,0,0.0,0.0,0.0,0.0,0.0
Terence Kongolo,Fulham,NED,DF,26,1,1,90,0,0,0.0,0.0,0.0,0.0,0.0
Tyrese Francois,Fulham,AUS,DF,20,1,0,15,0,0,0.0,0.0,0.0,0.0,0.0
Sam Johnstone,West Bromwich Albion,ENG,GK,27,37,37,3330,0,1,0.0,0.0,0.02702702702702703,0.027027027027027025,0.027027027027027025
Darnell Furlong,West Bromwich Albion,ENG,DF,24,35,32,2932,1,3,0.02857142857142857,0.030695770804911322,0.08571428571428572,0.09208731241473396,0.12278308321964529
Semi Ajayi,West Bromwich Albion,NGA,DF,26,33,31,2780,2,0,0.06060606060606061,0.06474820143884892,0.0,0.0,0.06474820143884892
Matheus Pereira,West Bromwich Albion,BRA,"MF,FW",24,33,30,2577,11,6,0.3333333333333333,0.3841676367869616,0.18181818181818182,0.20954598370197905,0.5937136204889406
Kyle Bartley,West Bromwich Albion,ENG,DF,29,30,28,2584,3,1,0.1,0.1044891640866873,0.03333333333333333,0.0348297213622291,0.1393188854489164
Conor Gallagher,West Bromwich Albion,ENG,MF,20,30,28,2531,2,2,0.06666666666666667,0.07111813512445674,0.06666666666666667,0.07111813512445674,0.14223627024891347
Conor Townsend,West Bromwich Albion,ENG,DF,27,25,25,2234,0,2,0.0,0.0,0.08,0.08057296329453895,0.08057296329453895
Dara O'Shea,West Bromwich Albion,IRL,DF,21,28,25,2102,0,0,0.0,0.0,0.0,0.0,0.0
Matt Phillips,West Bromwich Albion,SCO,MF,29,33,20,1828,2,1,0.06060606060606061,0.09846827133479212,0.030303030303030304,0.04923413566739606,0.14770240700218817
Callum Robinson,West Bromwich Albion,IRL,"FW,MF",25,28,20,1560,5,0,0.17857142857142858,0.28846153846153844,0.0,0.0,0.28846153846153844
Romaine Sawyers,West Bromwich Albion,SKN,MF,28,19,17,1487,0,0,0.0,0.0,0.0,0.0,0.0
Okay Yoku≈ülu,West Bromwich Albion,TUR,MF,26,16,15,1317,0,1,0.0,0.0,0.0625,0.0683371298405467,0.0683371298405467
Jake Livermore,West Bromwich Albion,ENG,MF,30,18,15,1242,0,0,0.0,0.0,0.0,0.0,0.0
Grady Diangana,West Bromwich Albion,ENG,"MF,FW",22,20,15,1235,1,0,0.05,0.0728744939271255,0.0,0.0,0.0728744939271255
Ainsley Maitland-Niles,West Bromwich Albion,ENG,MF,22,15,14,1230,0,0,0.0,0.0,0.0,0.0,0.0
Mbaye Diagne,West Bromwich Albion,SEN,FW,28,16,14,1189,3,2,0.1875,0.2270815811606392,0.125,0.15138772077375945,0.37846930193439865
Karlan Grant,West Bromwich Albion,ENG,"FW,MF",22,21,14,1127,1,0,0.047619047619047616,0.07985803016858918,0.0,0.0,0.07985803016858918
Kieran Gibbs,West Bromwich Albion,ENG,DF,30,10,9,809,0,0,0.0,0.0,0.0,0.0,0.0
Branislav Ivanoviƒá,West Bromwich Albion,SRB,DF,36,13,8,767,0,0,0.0,0.0,0.0,0.0,0.0
Robert Snodgrass,West Bromwich Albion,SCO,"MF,FW",32,8,6,526,0,0,0.0,0.0,0.0,0.0,0.0
Filip Krovinoviƒá,West Bromwich Albion,CRO,MF,24,11,5,546,0,0,0.0,0.0,0.0,0.0,0.0
Lee Peltier,West Bromwich Albion,ENG,DF,33,4,3,229,0,0,0.0,0.0,0.0,0.0,0.0
Hal Robson-Kanu,West Bromwich Albion,WAL,FW,31,19,2,561,2,0,0.10526315789473684,0.32085561497326204,0.0,0.0,0.32085561497326204
Kamil Grosicki,West Bromwich Albion,POL,"FW,MF",32,3,2,148,0,1,0.0,0.0,0.3333333333333333,0.6081081081081081,0.6081081081081081
Kyle Edwards,West Bromwich Albion,ENG,"MF,FW",22,5,1,118,0,0,0.0,0.0,0.0,0.0,0.0
David Button,West Bromwich Albion,ENG,GK,31,1,1,90,0,0,0.0,0.0,0.0,0.0,0.0
Ahmed Hegazi,West Bromwich Albion,EGY,DF,29,1,1,90,0,0,0.0,0.0,0.0,0.0,0.0
Charlie Austin,West Bromwich Albion,ENG,FW,31,5,0,138,0,0,0.0,0.0,0.0,0.0,0.0
Sam Field,West Bromwich Albion,ENG,MF,22,3,0,62,0,0,0.0,0.0,0.0,0.0,0.0
Rekeem Harper,West Bromwich Albion,ENG,MF,20,2,0,32,0,0,0.0,0.0,0.0,0.0,0.0
Aaron Ramsdale,Sheffield United,ENG,GK,22,38,38,3420,0,0,0.0,0.0,0.0,0.0,0.0
George Baldock,Sheffield United,ENG,DF,27,32,32,2787,0,2,0.0,0.0,0.0625,0.06458557588805167,0.06458557588805167
Chris Basham,Sheffield United,ENG,"DF,MF",32,31,31,2576,0,1,0.0,0.0,0.03225806451612903,0.03493788819875776,0.03493788819875776
Enda Stevens,Sheffield United,IRL,DF,30,30,30,2700,0,1,0.0,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333
John Egan,Sheffield United,IRL,DF,27,31,30,2629,0,1,0.0,0.0,0.03225806451612903,0.034233548877900345,0.034233548877900345
John Fleck,Sheffield United,SCO,MF,28,31,29,2575,0,2,0.0,0.0,0.06451612903225806,0.06990291262135923,0.06990291262135923
David McGoldrick,Sheffield United,IRL,"FW,MF",32,35,28,2397,8,1,0.22857142857142856,0.3003754693366708,0.02857142857142857,0.03754693366708385,0.3379224030037547
Oliver Norwood,Sheffield United,NIR,MF,29,32,26,2220,0,0,0.0,0.0,0.0,0.0,0.0
Ethan Ampadu,Sheffield United,WAL,"DF,MF",19,25,23,2089,0,0,0.0,0.0,0.0,0.0,0.0
John Lundstram,Sheffield United,ENG,MF,26,28,23,2032,0,2,0.0,0.0,0.07142857142857142,0.08858267716535433,0.08858267716535433
Ben Osborn,Sheffield United,ENG,"MF,DF",25,24,17,1604,1,0,0.041666666666666664,0.05610972568578553,0.0,0.0,0.05610972568578553
Oliver Burke,Sheffield United,SCO,FW,23,25,14,1269,1,1,0.04,0.07092198581560284,0.04,0.07092198581560284,0.14184397163120568
Sander Berge,Sheffield United,NOR,MF,22,15,13,1120,1,1,0.06666666666666667,0.08035714285714285,0.06666666666666667,0.08035714285714285,0.1607142857142857
Oliver McBurnie,Sheffield United,SCO,FW,24,23,12,1324,1,0,0.043478260869565216,0.06797583081570997,0.0,0.0,0.06797583081570997
Rhian Brewster,Sheffield United,ENG,FW,20,27,12,1128,0,0,0.0,0.0,0.0,0.0,0.0
Jayden Bogle,Sheffield United,ENG,DF,20,16,12,1110,2,0,0.125,0.16216216216216217,0.0,0.0,0.16216216216216217
Kean Bryan,Sheffield United,ENG,DF,23,13,12,1004,1,0,0.07692307692307693,0.08964143426294821,0.0,0.0,0.08964143426294821
Jack Robinson,Sheffield United,ENG,DF,26,11,9,877,0,1,0.0,0.0,0.09090909090909091,0.10262257696693272,0.10262257696693272
Billy Sharp,Sheffield United,ENG,FW,34,16,7,735,3,0,0.1875,0.3673469387755102,0.0,0.0,0.3673469387755102
Max Lowe,Sheffield United,ENG,DF,23,8,7,550,0,0,0.0,0.0,0.0,0.0,0.0
Phil Jagielka,Sheffield United,ENG,DF,37,10,6,526,0,0,0.0,0.0,0.0,0.0,0.0
Daniel Jebbison,Sheffield United,ENG,FW,17,4,3,284,1,0,0.25,0.31690140845070425,0.0,0.0,0.31690140845070425
Lys Mousset,Sheffield United,FRA,"FW,MF",24,11,2,296,0,0,0.0,0.0,0.0,0.0,0.0
Jack O'Connell,Sheffield United,ENG,DF,26,2,2,180,0,0,0.0,0.0,0.0,0.0,0.0
Iliman Ndiaye,Sheffield United,FRA,MF,21,1,0,12,0,0,0.0,0.0,0.0,0.0,0.0
Antwoine Hackford,Sheffield United,ENG,"DF,FW",16,1,0,11,0,0,0.0,0.0,0.0,0.0,0.0
Femi Seriki,Sheffield United,ENG,DF,17,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0
